REGION,TIMESLICE,FUEL,YEAR,VALUE
"REGION1","S03B1","SEE2",2055,45.2971211121
"REGION1","S03B1","SEE2",2056,45.438899418
"REGION1","S03B1","SEE2",2057,45.5810657324
"REGION1","S03B1","SEE2",2058,45.723697657
"REGION1","S03B1","SEE2",2059,45.8667175901
"REGION1","S03B1","SEE2",2060,46.0102031334
"REGION1","S03B2","SEE2",2015,134.239835892
"REGION1","S03B2","SEE2",2016,135.640772516
"REGION1","S03B2","SEE2",2017,137.042014488
"REGION1","S03B2","SEE2",2018,138.44325646
"REGION1","S03B2","SEE2",2019,139.844193084
"REGION1","S03B2","SEE2",2020,141.245435056
"REGION1","S03B2","SEE2",2021,142.127585428
"REGION1","S03B2","SEE2",2022,143.0097358
"REGION1","S03B2","SEE2",2023,143.891886172
"REGION1","S03B2","SEE2",2024,144.774036544
"REGION1","S03B2","SEE2",2025,145.656186916
"REGION1","S03B2","SEE2",2026,146.6968129
"REGION1","S03B2","SEE2",2027,147.737438884
"REGION1","S03B2","SEE2",2028,148.778064868
"REGION1","S03B2","SEE2",2029,149.818690852
"REGION1","S03B2","SEE2",2030,150.859316836
"REGION1","S03B2","SEE2",2031,151.713375192
"REGION1","S03B2","SEE2",2032,152.567433548
"REGION1","S03B2","SEE2",2033,153.421186556
"REGION1","S03B2","SEE2",2034,154.275244912
"REGION1","S03B2","SEE2",2035,155.129303268
"REGION1","S03B2","SEE2",2036,156.118630788
"REGION1","S03B2","SEE2",2037,157.108263656
"REGION1","S03B2","SEE2",2038,158.097896524
"REGION1","S03B2","SEE2",2039,159.087224044
"REGION1","S03B2","SEE2",2040,160.076856912
"REGION1","S03B2","SEE2",2041,161.610925264
"REGION1","S03B2","SEE2",2042,163.144993616
"REGION1","S03B2","SEE2",2043,164.679061968
"REGION1","S03B2","SEE2",2044,166.21313032
"REGION1","S03B2","SEE2",2045,167.74750402
"REGION1","S03B2","SEE2",2046,169.110272144
"REGION1","S03B2","SEE2",2047,170.473040268
"REGION1","S03B2","SEE2",2048,171.835808392
"REGION1","S03B2","SEE2",2049,173.198576516
"REGION1","S03B2","SEE2",2050,174.56134464
"REGION1","S03B2","SEE2",2051,175.290515664
"REGION1","S03B2","SEE2",2052,176.02243482
"REGION1","S03B2","SEE2",2053,176.757102108
"REGION1","S03B2","SEE2",2054,177.495128224
"REGION1","S03B2","SEE2",2055,178.235597124
"REGION1","S03B2","SEE2",2056,178.79346792
"REGION1","S03B2","SEE2",2057,179.352865456
"REGION1","S03B2","SEE2",2058,179.91409508
"REGION1","S03B2","SEE2",2059,180.476851444
"REGION1","S03B2","SEE2",2060,181.041439896
"REGION1","S03B3","SEE2",2015,23.2465264104
"REGION1","S03B3","SEE2",2016,23.4891288392
"REGION1","S03B3","SEE2",2017,23.7317841456
"REGION1","S03B3","SEE2",2018,23.974439452
"REGION1","S03B3","SEE2",2019,24.2170418808
"REGION1","S03B3","SEE2",2020,24.4596971872
"REGION1","S03B3","SEE2",2021,24.6124605736
"REGION1","S03B3","SEE2",2022,24.76522396
"REGION1","S03B3","SEE2",2023,24.9179873464
"REGION1","S03B3","SEE2",2024,25.0707507328
"REGION1","S03B3","SEE2",2025,25.2235141192
"REGION1","S03B3","SEE2",2026,25.40372098
"REGION1","S03B3","SEE2",2027,25.5839278408
"REGION1","S03B3","SEE2",2028,25.7641347016
"REGION1","S03B3","SEE2",2029,25.9443415624
"REGION1","S03B3","SEE2",2030,26.1245484232
"REGION1","S03B3","SEE2",2031,26.2724470704
"REGION1","S03B3","SEE2",2032,26.4203457176
"REGION1","S03B3","SEE2",2033,26.5681914872
"REGION1","S03B3","SEE2",2034,26.7160901344
"REGION1","S03B3","SEE2",2035,26.8639887816
"REGION1","S03B3","SEE2",2036,27.0353122056
"REGION1","S03B3","SEE2",2037,27.2066885072
"REGION1","S03B3","SEE2",2038,27.3780648088
"REGION1","S03B3","SEE2",2039,27.5493882328
"REGION1","S03B3","SEE2",2040,27.7207645344
"REGION1","S03B3","SEE2",2041,27.9864215968
"REGION1","S03B3","SEE2",2042,28.2520786592
"REGION1","S03B3","SEE2",2043,28.5177357216
"REGION1","S03B3","SEE2",2044,28.783392784
"REGION1","S03B3","SEE2",2045,29.049102724
"REGION1","S03B3","SEE2",2046,29.2850954528
"REGION1","S03B3","SEE2",2047,29.5210881816
"REGION1","S03B3","SEE2",2048,29.7570809104
"REGION1","S03B3","SEE2",2049,29.9930736392
"REGION1","S03B3","SEE2",2050,30.229066368
"REGION1","S03B3","SEE2",2051,30.3553380768
"REGION1","S03B3","SEE2",2052,30.482085684
"REGION1","S03B3","SEE2",2053,30.6093091896
"REGION1","S03B3","SEE2",2054,30.7371143488
"REGION1","S03B3","SEE2",2055,30.8653425288
"REGION1","S03B3","SEE2",2056,30.961949904
"REGION1","S03B3","SEE2",2057,31.0588216672
"REGION1","S03B3","SEE2",2058,31.156010696
"REGION1","S03B3","SEE2",2059,31.2534641128
"REGION1","S03B3","SEE2",2060,31.3512347952
"REGION1","S04B1","SEE2",2015,10.829820786
"REGION1","S04B1","SEE2",2016,10.942841578
"REGION1","S04B1","SEE2",2017,11.055887004
"REGION1","S04B1","SEE2",2018,11.16893243
"REGION1","S04B1","SEE2",2019,11.281953222
"REGION1","S04B1","SEE2",2020,11.394998648
"REGION1","S04B1","SEE2",2021,11.466166274
"REGION1","S04B1","SEE2",2022,11.5373339
"REGION1","S04B1","SEE2",2023,11.608501526
"REGION1","S04B1","SEE2",2024,11.679669152
"REGION1","S04B1","SEE2",2025,11.750836778
"REGION1","S04B1","SEE2",2026,11.83478945
"REGION1","S04B1","SEE2",2027,11.918742122
"REGION1","S04B1","SEE2",2028,12.002694794
"REGION1","S04B1","SEE2",2029,12.086647466
"REGION1","S04B1","SEE2",2030,12.170600138
"REGION1","S04B1","SEE2",2031,12.239501436
"REGION1","S04B1","SEE2",2032,12.308402734
